kepid,kepid_count,koi_disposition
9656252,1,CONFIRMED
10663396,1,CONFIRMED
10875245,4,CONFIRMED
10875245,4,CONFIRMED
10875245,4,CONFIRMED
10875245,4,CONFIRMED
11457726,1,CONFIRMED
8956206,1,CONFIRMED
9649706,1,CONFIRMED
3128552,3,CONFIRMED
3128552,3,CONFIRMED
3128552,3,CONFIRMED
9573685,1,CONFIRMED
10329835,1,CONFIRMED
12301181,1,CONFIRMED
6774880,1,CONFIRMED
7449541,1,CONFIRMED
9304101,1,CONFIRMED
9471974,2,CONFIRMED
9471974,2,CONFIRMED
11360571,1,CONFIRMED
6035124,1,CONFIRMED
12058147,1,CONFIRMED
8866137,1,CONFIRMED
10857519,1,CONFIRMED
9517393,2,CONFIRMED
9517393,2,CONFIRMED
9351316,2,CONFIRMED
9351316,2,CONFIRMED
9473078,1,CONFIRMED
6922710,1,CONFIRMED
11348997,1,CONFIRMED
5094751,2,CONFIRMED
5094751,2,CONFIRMED
8505920,2,CONFIRMED
8505920,2,CONFIRMED
7918992,1,CONFIRMED
10158729,1,CONFIRMED
6105462,2,CONFIRMED
6105462,2,CONFIRMED
3120355,1,CONFIRMED
6047072,1,CONFIRMED
9411412,1,CONFIRMED
7008211,1,CONFIRMED
7620413,1,CONFIRMED
10854546,1,CONFIRMED
6541920,6,CONFIRMED
6541920,6,CONFIRMED
6541920,6,CONFIRMED
6541920,6,CONFIRMED
6541920,6,CONFIRMED
6541920,6,CONFIRMED
11086270,2,CONFIRMED
11086270,2,CONFIRMED
8165946,1,CONFIRMED
9225395,1,CONFIRMED
10709622,1,CONFIRMED
11499228,1,CONFIRMED
11460462,1,CONFIRMED
6921944,1,CONFIRMED
8164012,1,CONFIRMED
4055304,1,CONFIRMED
9415108,1,CONFIRMED
4262581,1,CONFIRMED
8559644,2,CONFIRMED
8559644,2,CONFIRMED
3546060,1,CONFIRMED
9351920,1,CONFIRMED
10549023,1,CONFIRMED
4254466,1,CONFIRMED
9364609,1,CONFIRMED
5022828,1,CONFIRMED
8233702,1,CONFIRMED
11403339,1,CONFIRMED
8260902,1,CONFIRMED
8381204,1,CONFIRMED
7626506,2,CONFIRMED
7626506,2,CONFIRMED
6774537,1,CONFIRMED
10617017,1,CONFIRMED
9641481,1,CONFIRMED
12116380,1,CONFIRMED
2556650,1,CONFIRMED
5546761,1,CONFIRMED
9205938,2,CONFIRMED
9205938,2,CONFIRMED
7204981,1,CONFIRMED
4370527,1,CONFIRMED
6041734,2,CONFIRMED
6041734,2,CONFIRMED
12252424,2,CONFIRMED
12252424,2,CONFIRMED
9006186,3,CONFIRMED
9006186,3,CONFIRMED
9006186,3,CONFIRMED
11410904,1,CONFIRMED
10965588,1,CONFIRMED
7286911,1,CONFIRMED
6962109,1,CONFIRMED
8611781,1,CONFIRMED
8282651,1,CONFIRMED
11075429,1,CONFIRMED
10909127,1,CONFIRMED
4144576,1,CONFIRMED
10925104,3,CONFIRMED
10925104,3,CONFIRMED
10925104,3,CONFIRMED
9992325,1,CONFIRMED
10531955,1,CONFIRMED
8168187,1,CONFIRMED
4142847,2,CONFIRMED
4142847,2,CONFIRMED
10203349,1,CONFIRMED
7457296,1,CONFIRMED
10328458,1,CONFIRMED
6287313,1,CONFIRMED
9278725,1,CONFIRMED
8892157,1,CONFIRMED
8972058,2,CONFIRMED
8972058,2,CONFIRMED
11569782,1,CONFIRMED
10600955,1,CONFIRMED
8229458,1,CONFIRMED
9336200,1,CONFIRMED
4770617,2,CONFIRMED
4770617,2,CONFIRMED
4454934,1,CONFIRMED
9458343,1,CONFIRMED
7802719,1,CONFIRMED
6206214,1,CONFIRMED
8959839,1,CONFIRMED
7831264,2,CONFIRMED
7831264,2,CONFIRMED
7672097,1,CONFIRMED
9112931,1,CONFIRMED
9071593,2,CONFIRMED
9071593,2,CONFIRMED
11811193,1,CONFIRMED
3734418,1,CONFIRMED
8613535,2,CONFIRMED
8613535,2,CONFIRMED
12256520,1,CONFIRMED
10489345,1,CONFIRMED
10329469,1,CONFIRMED
9717943,1,CONFIRMED
10723750,2,CONFIRMED
10723750,2,CONFIRMED
7960980,1,CONFIRMED
3458028,1,CONFIRMED
2439243,1,CONFIRMED
9221517,1,CONFIRMED
6751874,1,CONFIRMED
9945370,1,CONFIRMED
8973129,1,CONFIRMED
11498128,1,CONFIRMED
9334893,1,CONFIRMED
10583761,1,CONFIRMED
6152974,2,CONFIRMED
6152974,2,CONFIRMED
7542813,1,CONFIRMED
4458082,2,CONFIRMED
4458082,2,CONFIRMED
8042453,1,CONFIRMED
3749978,1,CONFIRMED
10010440,1,CONFIRMED
4247991,1,CONFIRMED
10132832,1,CONFIRMED
3219995,1,CONFIRMED
7504778,1,CONFIRMED
10684670,1,CONFIRMED
7132798,2,CONFIRMED
7132798,2,CONFIRMED
11495458,1,CONFIRMED
10730703,1,CONFIRMED
8007644,1,CONFIRMED
12401863,1,CONFIRMED
2990873,1,CONFIRMED
5599774,1,CONFIRMED
8099138,1,CONFIRMED
7033233,1,CONFIRMED
8681734,1,CONFIRMED
10212441,2,CONFIRMED
11804465,1,CONFIRMED
4249725,2,CONFIRMED
4249725,2,CONFIRMED
8247771,1,CONFIRMED
5629538,1,CONFIRMED
8561231,1,CONFIRMED
8235924,1,CONFIRMED
6941084,1,CONFIRMED
6200235,1,CONFIRMED
11670125,1,CONFIRMED
11461844,1,CONFIRMED
8495415,2,CONFIRMED
11342416,1,CONFIRMED
4545187,2,CONFIRMED
4545187,2,CONFIRMED
10863608,1,CONFIRMED
5602588,1,CONFIRMED
11824786,1,CONFIRMED
12254909,1,CONFIRMED
11701407,1,CONFIRMED
10813132,1,CONFIRMED
9395024,1,CONFIRMED
12254378,1,CONFIRMED
8494617,1,CONFIRMED
10289119,1,CONFIRMED
4833421,5,CONFIRMED
4833421,5,CONFIRMED
4833421,5,CONFIRMED
4833421,5,CONFIRMED
4833421,5,CONFIRMED
7382313,1,CONFIRMED
9269042,1,CONFIRMED
11461433,1,CONFIRMED
8481129,1,CONFIRMED
2142522,1,CONFIRMED
5007345,1,CONFIRMED
12120484,1,CONFIRMED
6429812,1,CONFIRMED
10024051,1,CONFIRMED
10027247,1,CONFIRMED
7219825,2,CONFIRMED
7219825,2,CONFIRMED
6343170,1,CONFIRMED
7107802,1,CONFIRMED
11360805,1,CONFIRMED
9845898,1,CONFIRMED
12453581,1,CONFIRMED
8081899,1,CONFIRMED
7047363,1,CONFIRMED
8570333,1,CONFIRMED
5036705,1,CONFIRMED
6867555,1,CONFIRMED
11288051,3,CONFIRMED
11288051,3,CONFIRMED
11288051,3,CONFIRMED
5339567,1,CONFIRMED
3354846,1,CONFIRMED
5857540,1,CONFIRMED
7289317,1,CONFIRMED
9753154,1,CONFIRMED
7604328,2,CONFIRMED
7604328,2,CONFIRMED
11236244,1,CONFIRMED
9837685,1,CONFIRMED
12454461,1,CONFIRMED
8380709,1,CONFIRMED
10489206,2,CONFIRMED
10489206,2,CONFIRMED
9395719,1,CONFIRMED
11403389,1,CONFIRMED
9851662,1,CONFIRMED
10453588,1,CONFIRMED
11125613,3,CONFIRMED
11125613,3,CONFIRMED
11125613,3,CONFIRMED
7212184,1,CONFIRMED
8559152,1,CONFIRMED
9229657,1,CONFIRMED
11752632,1,CONFIRMED
10028535,1,CONFIRMED
8292840,3,CONFIRMED
8292840,3,CONFIRMED
8292840,3,CONFIRMED
7047207,1,CONFIRMED
11179076,1,CONFIRMED
6767840,1,CONFIRMED
9880190,1,CONFIRMED
8947520,1,CONFIRMED
10059645,1,CONFIRMED
7183745,2,CONFIRMED
7183745,2,CONFIRMED
7778767,1,CONFIRMED
7515762,1,CONFIRMED
9011825,1,CONFIRMED
9451706,3,CONFIRMED
9451706,3,CONFIRMED
9451706,3,CONFIRMED
11074835,1,CONFIRMED
1996180,1,CONFIRMED
3728701,1,CONFIRMED
8676148,1,CONFIRMED
9696358,1,CONFIRMED
8757824,1,CONFIRMED
5350244,1,CONFIRMED
5374403,1,CONFIRMED
7259298,1,CONFIRMED
5175024,1,CONFIRMED
8077137,2,CONFIRMED
8077137,2,CONFIRMED
9026749,1,CONFIRMED
11037511,1,CONFIRMED
9827149,1,CONFIRMED
5546691,1,CONFIRMED
10468885,1,CONFIRMED
8212002,1,CONFIRMED
8004903,1,CONFIRMED
10068659,1,CONFIRMED
6269070,1,CONFIRMED
5807769,1,CONFIRMED
10586004,2,CONFIRMED
10586004,2,CONFIRMED
8025596,1,CONFIRMED
4915638,1,CONFIRMED
8081905,1,CONFIRMED
10916600,1,CONFIRMED
8429314,1,CONFIRMED
9153570,1,CONFIRMED
6124512,1,CONFIRMED
10070468,1,CONFIRMED
11337566,1,CONFIRMED
1995519,1,CONFIRMED
9941662,1,CONFIRMED
5088536,3,CONFIRMED
5088536,3,CONFIRMED
5088536,3,CONFIRMED
4914566,1,CONFIRMED
6933567,1,CONFIRMED
11962284,1,CONFIRMED
6842682,1,CONFIRMED
4346178,1,CONFIRMED
9664142,1,CONFIRMED
10018233,1,CONFIRMED
9893318,1,CONFIRMED
3426367,1,CONFIRMED
5562090,1,CONFIRMED
5695396,2,CONFIRMED
5695396,2,CONFIRMED
5513012,1,CONFIRMED
8022489,3,CONFIRMED
8022489,3,CONFIRMED
8022489,3,CONFIRMED
5794570,2,CONFIRMED
5794570,2,CONFIRMED
6779260,1,CONFIRMED
8892303,1,CONFIRMED
9475552,2,CONFIRMED
9475552,2,CONFIRMED
5128673,1,CONFIRMED
6690836,1,CONFIRMED
5871985,1,CONFIRMED
11453592,1,CONFIRMED
6021275,4,CONFIRMED
6021275,4,CONFIRMED
6021275,4,CONFIRMED
6021275,4,CONFIRMED
5175986,1,CONFIRMED
9837661,3,CONFIRMED
9837661,3,CONFIRMED
9837661,3,CONFIRMED
9092504,2,CONFIRMED
9092504,2,CONFIRMED
9467404,1,CONFIRMED
5184911,1,CONFIRMED
6587105,1,CONFIRMED
4178606,1,CONFIRMED
12008872,1,CONFIRMED
8415200,1,CONFIRMED
10842192,1,CONFIRMED
10933561,2,CONFIRMED
10933561,2,CONFIRMED
4831728,1,CONFIRMED
5980208,1,CONFIRMED
8095441,1,CONFIRMED
5881813,1,CONFIRMED
12456601,1,CONFIRMED
6586746,1,CONFIRMED
9962455,2,CONFIRMED
9962455,2,CONFIRMED
9881077,1,CONFIRMED
6265792,1,CONFIRMED
10905911,1,CONFIRMED
11547513,2,CONFIRMED
11547513,2,CONFIRMED
6964929,1,CONFIRMED
8210018,1,CONFIRMED
7769819,1,CONFIRMED
12164564,1,CONFIRMED
10001368,1,CONFIRMED
9466429,1,CONFIRMED
8885643,1,CONFIRMED
5652893,1,CONFIRMED
11662184,1,CONFIRMED
11127479,1,CONFIRMED
3642289,2,CONFIRMED
3642289,2,CONFIRMED
9823519,2,CONFIRMED
9823519,2,CONFIRMED
6697756,1,CONFIRMED
11135308,1,CONFIRMED
7047824,1,CONFIRMED
2442448,1,CONFIRMED
11283615,1,CONFIRMED
7605093,1,CONFIRMED
11963206,1,CONFIRMED
7428736,1,CONFIRMED
6436029,1,CONFIRMED
7050989,2,CONFIRMED
7050989,2,CONFIRMED
9244508,1,CONFIRMED
9995402,1,CONFIRMED
5609593,1,CONFIRMED
11414465,1,CONFIRMED
11565924,1,CONFIRMED
6607357,2,CONFIRMED
6607357,2,CONFIRMED
6186964,1,CONFIRMED
10591855,1,CONFIRMED
6294819,1,CONFIRMED
5688910,1,CONFIRMED
7419318,2,CONFIRMED
7419318,2,CONFIRMED
6345732,2,CONFIRMED
6345732,2,CONFIRMED
10397751,2,CONFIRMED
10397751,2,CONFIRMED
8681833,1,CONFIRMED
4138951,1,CONFIRMED
8884274,1,CONFIRMED
7767162,1,CONFIRMED
7019524,1,CONFIRMED
9825174,1,CONFIRMED
5209845,1,CONFIRMED
6129524,1,CONFIRMED
7603200,3,CONFIRMED
7603200,3,CONFIRMED
7603200,3,CONFIRMED
6937402,1,CONFIRMED
11129258,1,CONFIRMED
3969687,1,CONFIRMED
6716545,1,CONFIRMED
4483138,1,CONFIRMED
9693006,1,CONFIRMED
7090524,1,CONFIRMED
7609553,1,CONFIRMED
10122538,4,CONFIRMED
10122538,4,CONFIRMED
10122538,4,CONFIRMED
10122538,4,CONFIRMED
8611257,1,CONFIRMED
8008067,3,CONFIRMED
8008067,3,CONFIRMED
8008067,3,CONFIRMED
10880507,1,CONFIRMED
9838468,1,CONFIRMED
9642292,1,CONFIRMED
4991208,1,CONFIRMED
8801316,1,CONFIRMED
10471515,1,CONFIRMED
8760040,1,CONFIRMED
10098844,2,CONFIRMED
11090556,2,CONFIRMED
11090556,2,CONFIRMED
9468551,1,CONFIRMED
10264660,1,CONFIRMED
9881662,2,CONFIRMED
9881662,2,CONFIRMED
9076971,1,CONFIRMED
5520547,1,CONFIRMED
11244137,1,CONFIRMED
3848275,1,CONFIRMED
12021625,1,CONFIRMED
4175630,1,CONFIRMED
3852655,1,CONFIRMED
6103377,1,CONFIRMED
9070666,1,CONFIRMED
12405333,1,CONFIRMED
10552611,2,CONFIRMED
10552611,2,CONFIRMED
3642335,1,CONFIRMED
7347246,1,CONFIRMED
11403530,1,CONFIRMED
9716391,1,CONFIRMED
6929841,1,CONFIRMED
10585738,1,CONFIRMED
8051946,1,CONFIRMED
5445681,1,CONFIRMED
6263593,1,CONFIRMED
2716801,1,CONFIRMED
10982872,3,CONFIRMED
10982872,3,CONFIRMED
10982872,3,CONFIRMED
7216284,1,CONFIRMED
11019987,1,CONFIRMED
10924562,1,CONFIRMED
5865654,1,CONFIRMED
5096590,1,CONFIRMED
7455981,1,CONFIRMED
11508644,1,CONFIRMED
8895758,1,CONFIRMED
11572193,1,CONFIRMED
11285870,1,CONFIRMED
11521793,2,CONFIRMED
11521793,2,CONFIRMED
7676423,1,CONFIRMED
11714231,1,CONFIRMED
11720424,1,CONFIRMED
11499192,1,CONFIRMED
12416661,1,CONFIRMED
8751796,1,CONFIRMED
9907129,1,CONFIRMED
11455181,1,CONFIRMED
5440317,1,CONFIRMED
5688790,1,CONFIRMED
7175184,2,CONFIRMED
7175184,2,CONFIRMED
10908248,1,CONFIRMED
7534267,1,CONFIRMED
11189311,1,CONFIRMED
10057494,1,CONFIRMED
6587796,1,CONFIRMED
8073705,1,CONFIRMED
9885417,1,CONFIRMED
12156174,1,CONFIRMED
12055539,1,CONFIRMED
12056139,1,CONFIRMED
8494142,2,CONFIRMED
8494142,2,CONFIRMED
8826007,1,CONFIRMED
5280587,1,CONFIRMED
3120904,1,CONFIRMED
10653179,1,CONFIRMED
11177676,1,CONFIRMED
12066569,1,CONFIRMED
8016691,1,CONFIRMED
6584273,1,CONFIRMED
5768816,1,CONFIRMED
9447166,1,CONFIRMED
3656121,2,CONFIRMED
3656121,2,CONFIRMED
8151055,1,CONFIRMED
7510820,1,CONFIRMED
6880517,1,CONFIRMED
6615511,1,CONFIRMED
3632089,2,CONFIRMED
3632089,2,CONFIRMED
12735830,1,CONFIRMED
8554701,1,CONFIRMED
9031209,1,CONFIRMED
5965819,3,CONFIRMED
5965819,3,CONFIRMED
5965819,3,CONFIRMED
4271474,1,CONFIRMED
3942670,2,CONFIRMED
3942670,2,CONFIRMED
4736644,1,CONFIRMED
11810124,2,CONFIRMED
11810124,2,CONFIRMED
11303322,1,CONFIRMED
11241912,1,CONFIRMED
9349757,1,CONFIRMED
8636333,1,CONFIRMED
8081239,1,CONFIRMED
7091432,1,CONFIRMED
6368230,1,CONFIRMED
11651712,1,CONFIRMED
9946525,3,CONFIRMED
9946525,3,CONFIRMED
9946525,3,CONFIRMED
11455428,1,CONFIRMED
11657614,1,CONFIRMED
11125797,1,CONFIRMED
6705026,1,CONFIRMED
2995392,1,CONFIRMED
8644365,1,CONFIRMED
9085563,1,CONFIRMED
3561464,2,CONFIRMED
3561464,2,CONFIRMED
11754430,2,CONFIRMED
11754430,2,CONFIRMED
8409295,1,CONFIRMED
3217264,3,CONFIRMED
3217264,3,CONFIRMED
3217264,3,CONFIRMED
7131760,1,CONFIRMED
9285265,2,CONFIRMED
9285265,2,CONFIRMED
5780930,1,CONFIRMED
3433668,1,CONFIRMED
7503885,1,CONFIRMED
3629330,1,CONFIRMED
9027909,1,CONFIRMED
9230021,1,CONFIRMED
8738775,1,CONFIRMED
6265665,1,CONFIRMED
11359879,1,CONFIRMED
5351250,5,CONFIRMED
5351250,5,CONFIRMED
5351250,5,CONFIRMED
5351250,5,CONFIRMED
4645174,1,CONFIRMED
6599975,1,CONFIRMED
4282191,1,CONFIRMED
7288306,1,CONFIRMED
11860395,1,CONFIRMED
6364582,1,CONFIRMED
6118370,1,CONFIRMED
9763612,1,CONFIRMED
5213404,1,CONFIRMED
9995771,1,CONFIRMED
5791986,2,CONFIRMED
5791986,2,CONFIRMED
10881457,1,CONFIRMED
7517261,1,CONFIRMED
8424002,1,CONFIRMED
4150804,1,CONFIRMED
2581316,2,CONFIRMED
2581316,2,CONFIRMED
10795103,1,CONFIRMED
8494410,2,CONFIRMED
7515679,1,CONFIRMED
8780959,4,CONFIRMED
8780959,4,CONFIRMED
11518142,1,CONFIRMED
6508221,2,CONFIRMED
6508221,2,CONFIRMED
12557548,1,CONFIRMED
2581554,1,CONFIRMED
12784167,1,CONFIRMED
9353742,1,CONFIRMED
4472818,1,CONFIRMED
11760860,1,CONFIRMED
3728432,1,CONFIRMED
9480535,1,CONFIRMED
9761615,1,CONFIRMED
5784777,1,CONFIRMED
10843590,2,CONFIRMED
10843590,2,CONFIRMED
10788461,3,CONFIRMED
10788461,3,CONFIRMED
10788461,3,CONFIRMED
4242692,1,CONFIRMED
5895158,1,CONFIRMED
8636434,1,CONFIRMED
8030339,2,CONFIRMED
3732035,1,CONFIRMED
9280239,1,CONFIRMED
8036287,1,CONFIRMED
8934103,1,CONFIRMED
8282846,1,CONFIRMED
11709124,5,CONFIRMED
11709124,5,CONFIRMED
11709124,5,CONFIRMED
11709124,5,CONFIRMED
11709124,5,CONFIRMED
5938970,1,CONFIRMED
10714072,1,CONFIRMED
7100673,4,CONFIRMED
7100673,4,CONFIRMED
7100673,4,CONFIRMED
7100673,4,CONFIRMED
10089911,2,CONFIRMED
11415243,1,CONFIRMED
10360722,1,CONFIRMED
6226908,1,CONFIRMED
6755944,1,CONFIRMED
9455677,1,CONFIRMED
3937814,1,CONFIRMED
12302530,2,CONFIRMED
12302530,2,CONFIRMED
3103227,1,CONFIRMED
4850961,1,CONFIRMED
3747817,1,CONFIRMED
3955817,1,CONFIRMED
6349881,1,CONFIRMED
9272070,1,CONFIRMED
5088400,1,CONFIRMED
9956082,1,CONFIRMED
10000941,1,CONFIRMED
6607644,1,CONFIRMED
2438264,2,CONFIRMED
2438264,2,CONFIRMED
7610663,1,CONFIRMED
7838675,1,CONFIRMED
9897364,1,CONFIRMED
12505503,1,CONFIRMED
9828127,1,CONFIRMED
5644412,1,CONFIRMED
5340878,1,CONFIRMED
5084171,1,CONFIRMED
10593535,1,CONFIRMED
1724719,1,CONFIRMED
3745690,3,CONFIRMED
3745690,3,CONFIRMED
3745690,3,CONFIRMED
9366617,1,CONFIRMED
9183378,1,CONFIRMED
9872831,1,CONFIRMED
11509504,1,CONFIRMED
11611275,1,CONFIRMED
9285568,1,CONFIRMED
5177859,1,CONFIRMED
10407482,1,CONFIRMED
10526887,1,CONFIRMED
7826620,1,CONFIRMED
4633570,2,CONFIRMED
4633570,2,CONFIRMED
6026924,1,CONFIRMED
4548011,1,CONFIRMED
5868793,1,CONFIRMED
10063208,1,CONFIRMED
7596240,1,CONFIRMED
8507475,1,CONFIRMED
8773015,1,CONFIRMED
11612280,1,CONFIRMED
10722485,1,CONFIRMED
5371777,1,CONFIRMED
5640085,2,CONFIRMED
5640085,2,CONFIRMED
10730070,1,CONFIRMED
8573193,1,CONFIRMED
3244792,1,CONFIRMED
8459663,1,CONFIRMED
10669994,1,CONFIRMED
7427764,1,CONFIRMED
11444514,1,CONFIRMED
6937529,1,CONFIRMED
9883606,1,CONFIRMED
5860968,1,CONFIRMED
7269974,2,CONFIRMED
7269974,2,CONFIRMED
3645438,2,CONFIRMED
3645438,2,CONFIRMED
2831055,1,CONFIRMED
5281113,1,CONFIRMED
7046035,1,CONFIRMED
8416523,1,CONFIRMED
10329196,1,CONFIRMED
7429240,1,CONFIRMED
7133294,1,CONFIRMED
4381429,1,CONFIRMED
4556468,1,CONFIRMED
7440748,2,CONFIRMED
7440748,2,CONFIRMED
9100953,2,CONFIRMED
9100953,2,CONFIRMED
11671579,1,CONFIRMED
9216775,1,CONFIRMED
7747457,1,CONFIRMED
11650401,1,CONFIRMED
6761777,1,CONFIRMED
9009036,1,CONFIRMED
9701962,1,CONFIRMED
9412623,1,CONFIRMED
8417078,1,CONFIRMED
7977197,2,CONFIRMED
7977197,2,CONFIRMED
10026502,1,CONFIRMED
8047428,1,CONFIRMED
10615440,1,CONFIRMED
4473613,1,CONFIRMED
1873513,1,CONFIRMED
4760478,1,CONFIRMED
5551240,1,CONFIRMED
6184894,1,CONFIRMED
7731281,1,CONFIRMED
7935997,1,CONFIRMED
10019643,2,CONFIRMED
10019643,2,CONFIRMED
8037038,1,CONFIRMED
8105398,1,CONFIRMED
8745553,1,CONFIRMED
8891684,1,CONFIRMED
9141355,1,CONFIRMED
9715631,1,CONFIRMED
10777591,1,CONFIRMED
11037818,1,CONFIRMED
11176166,2,CONFIRMED
10460984,4,CONFIRMED
10460984,4,CONFIRMED
10460984,4,CONFIRMED
10460984,4,CONFIRMED
5629353,1,CONFIRMED
6221385,2,CONFIRMED
6221385,2,CONFIRMED
7908367,2,CONFIRMED
7908367,2,CONFIRMED
8653134,1,CONFIRMED
10717220,1,CONFIRMED
10989274,1,CONFIRMED
7350067,1,CONFIRMED
6444896,2,CONFIRMED
6444896,2,CONFIRMED
10577994,2,CONFIRMED
10577994,2,CONFIRMED
7304449,1,CONFIRMED
10905746,1,CONFIRMED
11768142,1,CONFIRMED
5977470,1,CONFIRMED
4141376,1,CONFIRMED
4815520,1,CONFIRMED
9025971,1,CONFIRMED
3861595,1,CONFIRMED
5474613,2,CONFIRMED
5474613,2,CONFIRMED
11192998,3,CONFIRMED
11192998,3,CONFIRMED
11192998,3,CONFIRMED
10005758,2,CONFIRMED
10005758,2,CONFIRMED
11187837,1,CONFIRMED
11394027,1,CONFIRMED
5786676,1,CONFIRMED
9605514,3,CONFIRMED
9605514,3,CONFIRMED
10713616,1,CONFIRMED
9480310,1,CONFIRMED
4770365,3,CONFIRMED
4770365,3,CONFIRMED
4770365,3,CONFIRMED
3239945,4,CONFIRMED
3239945,4,CONFIRMED
3239945,4,CONFIRMED
3239945,4,CONFIRMED
7522911,1,CONFIRMED
4365645,1,CONFIRMED
5124667,1,CONFIRMED
11126381,1,CONFIRMED
9030537,1,CONFIRMED
5770074,1,CONFIRMED
7810483,1,CONFIRMED
10094670,1,CONFIRMED
3239671,1,CONFIRMED
12017109,1,CONFIRMED
4757437,2,CONFIRMED
4757437,2,CONFIRMED
4857213,1,CONFIRMED
9661979,1,CONFIRMED
4473226,1,CONFIRMED
8321314,1,CONFIRMED
9654468,1,CONFIRMED
8110767,1,CONFIRMED
6605493,1,CONFIRMED
12156347,1,CONFIRMED
5953297,1,CONFIRMED
3545135,1,CONFIRMED
5689351,5,CONFIRMED
5689351,5,CONFIRMED
5689351,5,CONFIRMED
5689351,5,CONFIRMED
5689351,5,CONFIRMED
6432345,1,CONFIRMED
5775129,1,CONFIRMED
10064256,1,CONFIRMED
10793172,2,CONFIRMED
10793172,2,CONFIRMED
5106313,1,CONFIRMED
9714550,1,CONFIRMED
6619815,1,CONFIRMED
7742408,1,CONFIRMED
4164922,1,CONFIRMED
11244682,1,CONFIRMED
10619192,1,CONFIRMED
6266741,2,CONFIRMED
6266741,2,CONFIRMED
9009953,1,CONFIRMED
6428794,1,CONFIRMED
8480582,1,CONFIRMED
6368175,1,CONFIRMED
7941200,1,CONFIRMED
6381846,3,CONFIRMED
6381846,3,CONFIRMED
6381846,3,CONFIRMED
2444412,1,CONFIRMED
6803202,1,CONFIRMED
11852982,1,CONFIRMED
7670943,1,CONFIRMED
9592705,1,CONFIRMED
6291837,1,CONFIRMED
7700622,1,CONFIRMED
11566064,1,CONFIRMED
7364176,1,CONFIRMED
3831053,1,CONFIRMED
6422155,4,CONFIRMED
6422155,4,CONFIRMED
6422155,4,CONFIRMED
6422155,4,CONFIRMED
10155434,1,CONFIRMED
8934495,1,CONFIRMED
5978361,1,CONFIRMED
9957627,1,CONFIRMED
10676824,1,CONFIRMED
5020319,1,CONFIRMED
9266431,1,CONFIRMED
3641726,1,CONFIRMED
3940418,1,CONFIRMED
7135852,1,CONFIRMED
6451936,2,CONFIRMED
6451936,2,CONFIRMED
7938496,1,CONFIRMED
1026957,1,CONFIRMED
2164169,1,CONFIRMED
2574338,1,CONFIRMED
6131236,1,CONFIRMED
10118816,1,CONFIRMED
3109930,1,CONFIRMED
10354039,1,CONFIRMED
